  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.05 39025.14     20.91  2423600     0.01     0.01  String#gsub!
  0.05 39046.02     20.88    27004     0.77     0.91  Kernel.gem_original_require
  0.05 39066.08     20.06  2804033     0.01     0.01  String#<<
  0.05 39085.43     19.35   738364     0.03    40.63  REXML::XPathParser#match
  0.05 39104.64     19.21  2710628     0.01     0.01  StringIO#gets
  0.05 39123.79     19.15  2683943     0.01     0.01  Array#push
  0.05 39142.68     18.89  2711270     0.01     0.01  Hash#initialize
  0.05 39161.48     18.80   738364     0.03     0.03  REXML::XPathParser#namespaces=
  0.05 39179.64     18.16  2701865     0.01     0.01  Array#pop
  0.04 39197.28     17.64   911224     0.02     0.03  REXML::Parent#[]
  0.04 39214.80     17.52   738364     0.02     0.05  REXML::XPathParser#initialize
  0.04 39231.51     16.71   738364     0.02     0.03  REXML::XPathParser#variables=
  0.04 39248.07     16.56   340530     0.05     0.17  Kernel.loop
  0.04 39264.16     16.09  2820270     0.01     0.01  Hash#[]
  0.04 39279.96     15.80  2737329     0.01     0.01  StringIO#eof?
  0.04 39295.76     15.80  2275438     0.01     0.01  String#===
  0.04 39310.67     14.91   541548     0.03     0.03  REXML::Attribute#prefix
  0.04 39325.57     14.90   722066     0.02     0.05  Hash#merge
  0.04 39340.02     14.45    17824     0.81     0.81  Kernel.spawn
  0.04 39354.45     14.43   722064     0.02     0.12  REXML::Attributes#each_attribute
  0.04 39368.74     14.29  2022501     0.01     0.01  String#length
  0.03 39382.60     13.86   289455     0.05     0.78  REXML::Element#text
  0.03 39396.42     13.82   340564     0.04     0.30  SQLite3::Statement#bind_params
  0.03 39409.83     13.41   180516     0.07     0.22  REXML::Functions.string
  0.03 39423.16     13.33    90258     0.15     0.74  REXML::XPathParser#equality_relational_compare
  0.03 39435.88     12.72  1048594     0.01     0.01  Array#flatten
  0.03 39448.21     12.33  1368690     0.01     0.01  REXML::Attributes#initialize
  0.03 39460.46     12.25  1368690     0.01     0.01  Array#unshift
  0.03 39472.65     12.19  1253980     0.01     0.01  String#gsub
  0.03 39484.58     11.93  2023505     0.01     0.01  Kernel.block_given?
  0.03 39495.81     11.23   289455     0.04     0.66  REXML::Text#value
  0.03 39506.80     10.99  1066721     0.01     0.01  SQLite3::Statement#bind_param
  0.03 39517.43     10.63  1368690     0.01     0.01  REXML::Elements#initialize
  0.03 39527.75     10.32   733979     0.01     0.02  Array#initialize
  0.02 39537.71      9.96    83560     0.12  2077.67  REXML::XPath#each
  0.02 39547.36      9.65  1197010     0.01     0.01  Module#===
  0.02 39556.59      9.23  1204002     0.01     0.01  String#strip
  0.02 39565.80      9.21   340530     0.03     0.19  SQLite3::Statement#columns
  0.02 39574.70      8.90   340530     0.03     0.22  Enumerable.to_a
  0.02 39583.45      8.75    90258     0.10     5.05  REXML::Element#attribute
  0.02 39592.18      8.73  1341990     0.01     0.01  Hash#each_key
  0.02 39600.52      8.34  1456707     0.01     0.01  Kernel.hash
  0.02 39608.66      8.14    52917     0.15     7.36  REXML::Parsers::XPathParser#Predicate
  0.02 39616.71      8.05   340530     0.02     0.19  SQLite3::Statement#each
