Measure Mode: wall_time
Thread ID: 10809340
Fiber ID: 12177700
Total: 7.283249
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000       14   Hash#values
  0.00      0.000     0.000     0.000     0.000       20   <Class::File>#directory?
  0.00      0.000     0.000     0.000     0.000       35   Module#module_function
  0.00      0.000     0.000     0.000     0.000       20   Kernel#binding
  0.00      0.000     0.000     0.000     0.000       86   Array#==
  0.00      0.000     0.000     0.000     0.000        1   URI::Parser#initialize_pattern
  0.00      0.000     0.000     0.000     0.000       55   <Class::Pry::Command>#group
  0.00      0.000     0.000     0.000     0.000        3   Hash#each_pair
  0.00      0.000     0.000     0.000     0.000       51   OptionParser::List#search
  0.00      0.000     0.000     0.000     0.000      256   Fixnum#&
  0.00      0.000     0.000     0.000     0.000       30   Gem::Specification#gems_dir
  0.00      0.000     0.000     0.000     0.000      256   Fixnum#>>
  0.00      0.000     0.000     0.000     0.000       12   <Class::Pry::Command>#match_score
  0.00      0.000     0.000     0.000     0.000      106   Fixnum#+
  0.00      0.000     0.000     0.000     0.000       14   Hash#initialize_copy
  0.00      0.000     0.000     0.000     0.000       11   Module#attr_writer
  0.00      0.000     0.000     0.000     0.000        7   OpenStruct#method_missing
  0.00      0.000     0.000     0.000     0.000       12   Enumerable#sort_by
  0.00      0.000     0.000     0.000     0.000       20   Gem::Specification#summary=
  0.00      0.000     0.000     0.000     0.000        1   Hash#each_key
  0.00      0.000     0.000     0.000     0.000       98   Module#included
  0.00      0.000     0.000     0.000     0.000       47   NilClass#inspect
  0.00      0.000     0.000     0.000     0.000       49   <Class::Class>#allocate
  0.00      0.000     0.000     0.000     0.000       18   Array#reverse_each
  0.00      0.002     0.000     0.000     0.002       49   Gem::Specification#add_development_dependency
  0.00      0.019     0.000     0.000     0.019       12   Pry::CommandSet#find_command
  0.00      0.000     0.000     0.000     0.000       85   Array#last
  0.00      0.000     0.000     0.000     0.000       51   Hash#fetch
